State,Avg ° F,Avg ° C,Rank
Alabama,78.6,25.9,8
Alaska,52.3,11.3,50
Arizona,78.1,25.6,10
Arkansas,78.8,26,6
California,73.4,23,17
Colorado,65.2,18.4,42
Connecticut,69.2,20.7,31
Delaware,74.2,23.4,16
Florida,81,27.2,3
Georgia,78.7,25.9,7
Hawaii,72.2,22.3,22
Idaho,63.7,17.6,46
Illinois,73.4,23,17
Indiana,72.4,22.4,21
Iowa,71.6,22,25
Kansas,76.4,24.7,11
Kentucky,74.5,23.6,15
Louisiana,81.1,27.3,1
Maine,63.7,17.6,46
Maryland,73.3,22.9,19
Massachusetts,68,20,35
Michigan,66.2,19,40
Minnesota,66.8,19.3,36
Mississippi,79.5,26.4,5
Missouri,75.4,24.1,14
,,,
State,Avg ° F,Avg ° C,Rank
Montana,64.2,17.9,44
Nebraska,71.8,22.1,24
Nevada,69,20.6,32
New Hampshire,65.5,18.6,41
New Jersey,72.2,22.3,22
New Mexico,71.4,21.9,26
New York,66.5,19.2,39
North Carolina,75.7,24.3,12
North Dakota,66.6,19.2,38
Ohio,70.9,21.6,27
Oklahoma,79.6,26.4,4
Oregon,63.7,17.6,46
Pennsylvania,68.6,20.3,34
Rhode Island,68.8,20.4,33
South Carolina,78.4,25.8,9
South Dakota,69.9,21.1,29
Tennessee,75.6,24.2,13
Texas,81.1,27.3,1
Utah,69.6,20.9,30
Vermont,65.1,18.4,43
Virginia,73.2,22.9,20
Washington,63.8,17.7,45
West Virginia,70.2,21.2,28
Wisconsin,66.8,19.3,36
